Day,State,Region,EV,Dem,GOP,Date,Pollster
275.5,Alabama,South,9,37,57,3-Oct,Auburn U. at Montgomery-4
210.5,Alabama,South,9,36,58,2-Aug,Morning Consult-10
187.5,Alabama,South,9,41,55,9-Jul,Auburn U. at Montgomery-8
36,Alabama,South,9,38,58,6-Feb,Mason-Dixon-3
273.5,Alaska,West,3,46,50,4-Oct,Alaska Survey Research-10
205.5,Alaska,West,3,44,50,24-Jul,PPP-2
189.5,Alaska,West,3,45,48,8-Jul,PPP-2
182,Alaska,West,3,48,49,7-Jul,Alaska Survey Research-15
284.5,Arizona,West,11,50,46,14-Oct,Ipsos-8
280.5,Arizona,West,11,49,46,11-Oct,Morning Consult-10
279.5,Arizona,West,11,49,43,7-Oct,Redfield and Wilton Strategies-4
277,Arizona,West,11,48,46,7-Oct,Ipsos-9
276,Arizona,West,11,49,41,3-Oct,Siena Coll.-3
276,Arizona,West,11,48,45,6-Oct,Latino Decisions-9
275.5,Arizona,West,11,46,45,5-Oct,High Ground Inc.-8
272,Arizona,West,11,50,46,30-Sep,Suffolk U.-5
270.5,Arizona,West,11,49,45,29-Sep,Strategies 360-6
268.5,Arizona,West,11,47,44,26-Sep,Redfield and Wilton Strategies-4
261.5,Arizona,West,11,48,49,20-Sep,Langer Research-6
258,Arizona,West,11,47,42,16-Sep,Redfield and Wilton Strategies-5
258,Arizona,West,11,47,46,17-Sep,Ipsos-7
257,Arizona,West,11,48,46,15-Sep,Monmouth U.-5
256.5,Arizona,West,11,49,40,15-Sep,Siena Coll.-6
254,Arizona,West,11,47,44,11-Sep,YouGov-3
253,Arizona,West,11,52,42,10-Sep,OH Predictive Insights-3
249.5,Arizona,West,11,45,40,13-Sep,Kaiser/Cook-16
246.5,Arizona,West,11,48,47,8-Sep,Benenson Strategy/GS Strategy-12
245.5,Arizona,West,11,48,43,4-Sep,Redfield and Wilton Strategies-6
243.5,Arizona,West,11,49,40,1-Sep,Fox News-4
238.5,Arizona,West,11,52,42,30-Aug,Morning Consult-10
